	Too vague.  Begs the issue of when an agent has goals, e.g. does a thermostat really have a goal.	Too long, not really a definition.	Too long, not really a definition	Goals	Not sure how to decide if something has foresight, or if that should be a defining characteristic.	Both vague and narrow	Might as well say "ability to do a lot of stuff"	
	Intelligence is not just about achieving goals. Acquiring knowledge without a specific goal in mind is important.			I don't understand the definition.		The best possible action in a situation may not be the best action in the long run.		Machine Intelligence should function without the need of a human.
		It’s too technically detailed. A definition should be more abstract.				The above definition is correct but does not cover the whole idea of AI		
Yours is too narrow.   For example, GENISAMA is more general but necessary.	Goals are inconsistent.	Your this form is better, but not sufficient.   Needs GENISAMA and more.	The brain itself can be optimal conditioned on its experience and GENISAMA. See Weng's optimality proof in International Journal of Intelligence Science 	AI is the mental capability required by the species in its life environments, that is appropriate at each age.	Must involve species, environment, age, and computational resource available.	Your definition is too narrow.  Intelligence is for competition of the species.	Your answer is static.   As I stated above, AI is measured by mental age.	Human is a part of the environment.  "Service to humans" can be inconsistent, such as serving for two sides during a war.
						Sometimes, humans take irrational choices that are good for them.		
								
								The requirement for "guidance" and providing "help" is not necessary.
I believe there is a part missing on automated improvement and that there is too much focus on the contemporary framework to think on these problems.		I feel that this is formulating AI as: "That which we currently cannot do yet." It is bound not to stand the test of time. I feel that once we will have solved the above task, we will notice how it still is lacking and was not the essence of intelligence after all.	The thing lacking with this definition is the skipping of an embodiment in the word computer system. I would replace `computer system` with `system` or `machine`.	Achieving goals in environments is the reinforcement learning approach. Human intelligence is not necessarily interested in achieving goals. In fact, it usually spends most of its time not trying to achieve a goal.	While a watchmaker is building entities appropriate to their task and with foresight to its environment, I would not say he is working on artificial intelligence. This definition seems too vague or too broad.	Ratio is the currency of science, like power is the currency of politics or aesthetics the currency of art. It is obvious why scientists would think rationality and acting optimally would institute intelligence, but it is missing out a chunk of the human spectrum.	This definition does not define intelligence, but what it would mean for machines to match human intelligence. 	
This is also a partial goal of AI.	But only in cases of situations when there are no effective algorithms, otherwise a direct program may achieve such goals. 	Real time in human terms is not needed for some forms of intelligence. 	Human intelligence is unnecessary restriction and is quite limited.	Efficient pragmatic general intelligence may serve as a specific index to measure machine intelligence. 	Roughly OK but not all situations in which intelligence is evident are related to foresight.	Action is not always required, unless action=change of internal state. 	Machine intelligence is different than human, why to mix it here?	This is one of its aspects and goals. 
								
				I'm not sure that the amount of computational resources should be taken into account 		it's also hard to define what's the "best possible action" 		
	Flexibility -wide range of domains- shall not be part of the definition but a consequence.	Constraints -time, resources- are not relevant for a definition of intelligence. 	Achieving human-level intelligence in machines is not the goal. The goal is general intelligence realized in machines (not necessarily human--like).	As said before, achieving goals is central.		Intelligence is related with processing information for a purpose. Action is a central issue. 		Agree in general but humans shall be removed from the definition.
			This is only a subset of intelligence		this captures aspects of intelligence, but does not pin it down sufficiently.	Under this definition, humans would not be classed as intelligent; this definition captures a utility maximizing agent only.		
Just redefines intelligence in terms of other vague terms. And even if we could define them, this just seems too binary: a system can either reason or it can't. A good definition should at least hint at a measure for degrees of intelligence. 	This is pretty good. As mentioned in the first two answers, I prefer "solving problems" to "achieving goals", but otherwise this is pretty good and concise. 	Most of this definition (AIKR and relative rationality) are great. However, I don't like "adapting to the environment". It implies a way of dealing with goals that is either irrational (i.e. failing to protect the integrity of its goals) or prone to wire heading (which would quickly lead to something very unintelligent).	Very verbose, comparisons to human intelligence that render it useless for defining (human) intelligence, and emphasizing sub-optimality. It's not false that an intelligent system does not need to generate optimal behavior. It's just that the more optimal it is, the more intelligent and vice-versa. 	Too complicated and dependent on the body (e.g. a stronger body increases your ability to achieve some goals). It's better to focus on solving problems than achieving goals for this reason. I also don't think we should (always) be normalizing by computational resources used: if I thought someone was more intelligent than me, knowing it's because they have more grey/white matter would make me go "oh, that's why" rather than "oh, I guess they aren't more intelligent after all". The only thing that matters for determining the intelligence of a system/agent according to a goal/problem is how much that goal/problem penalizes resource usage.  We could perhaps evaluate the "intelligence" of *algorithms* or (cognitive) *architectures*, in which case needing less resources to achieve the same thing would make an algorithm more "intelligent". I do like that this definition hints at a distribution over goals and environments. 	It sounds alright, but what do "appropriately" and "with foresight" really mean?	The notion of a rational agent is pretty close to intelligence, but I would focus on thought rather than action: an agent that can come up with amazing problem solving plans for *me* (i.e. a human body) would be very intelligent, even if its own capacity to act is severely limited. 	I'm not a huge fan of the comparison to human intelligence, or that it contains other vague terms like common sense, learning, reasoning and planning. I do like it defines intelligence as information processing. 	(Machine) intelligence should not be defined in term of how well it can serve another entity. This is frankly ridiculous. 
Make it possible for whom? Humans or machines?		The term „rationality“ is quite rich and often used in a normative setting; cognitive psychology provides many examples where rationality seems to be on the sidelines when it comes to guiding behavior, see e.g. the work on heuristics by Kahneman et al.	Human cognition at large is very messy. Human behavior relies on affective coding of stimuli salience, which is fast and flexible and at the core of most other cognitive functions (deliberation, decision making). Trying to replicate the whole „set“ might get entangled too deeply into the biological constraints of being human. 		This is quite vague.	The focus on action might not capture the need for appropriate information processing prior to taking action, i.e. differentiating between relevant and irrelevant  information, smart and efficient information retrieval, etc.		See above: rationality/ heuristics/ affective coding
This defines the FIELD of study, not intelligence per se. However: Is a machine intelligent if it can perceive, reason, and act? Depends on how well it does that and the evaluation criteria are not mentioned. 	Basically fine but less detailed than the two I fully agreed to.	So, a machine/person is by definition not intelligent if it has sufficient knowledge and resources? That would make the intelligence of a system dependent of the task... the question of whether I have enough money to buy me a book would make me 'unintelligent' (enough knowledge and resources to answer perfectly)? 	Yeah, similar to the two above. Maybe a bit less straightforward. Reads less like a definition, more like a description. 	Very academic, not suitable to human intelligence (in my view - does not incorporate bodily limits of, e.g., comp resources, signal processing, etc.). Might or might not be suitable for AI. Hard to say. What exactly are "prior distributions over goal and environment space"? Can someone be intelligent without any prior? What about analogies which are used whenever there is not much of a prior?	Same as above. It is not a very good definition in the sense of sharply delineating intelligent from non-intelligent systems but it gives the main dimensions along which systems can be evaluated with respect to their intelligence.	This shifts the problem of defining AI to the definition of 'best possible'. If that were possible (I am not sure here), I would agree. However, what is 'best possible', e.g., for a human with limited sensing, time, energy might not be 'best possible' for a machine. Plus, we will always have the balance between 'best possible for some individual' and 'best possible for groups of humans' such as societies. So: Definition of 'best possible' is impossible, but if it were possible, the definition would make sense. So, I am neutral about this one.	I think that this is as good as it gets. Of course, the definition of "common sense" is missing, but at least it indicates that 'sense' is dependent on a society evaluating it and that evaluation criteria should be somehow shared by many to call it 'common sense'. So, given my above statement that I believe that there is no single definition containing all 'intelligent' systems and excluding non-intelligent systems, I think that this is as good as it can be.	There is no unbiased guidance. AI will be first programmed by humans and rely on data which might or might not be biased towards different things. Furthermore, a machine is not only intelligent if it serves humans. The definition of intelligence cannot only be based on the interaction between the system and humans.
not strongly agree, because it is not clear that all intelligence is computation 	this is extremely broad, so it's hard to disagree. But is intelligence *only* the ability to achieve goals?	not all intelligence is about making generalizations, nor is about rationality 				not all intelligent behavior can be classified as "rational" (i.e. following logical, syntactic inference rules)		intelligence should not (only) be measured relative to what is useful for humans. A mosquito is intelligent, but it (presumably) is not beneficial to humans and also not rational (= symbolic)
Much too narrow.	Not bad but pretty vague - we need to say a lot more about what a goal is. 	I like this definition - it’s got broad scope and these are sensible scientific and technical challenges. I would have given it 5 except there are some key things missing, like ability to plan, communicate, perceive etc.	I am going to give strong support for this because I think the current focus on "AI = machine learning" is too limiting and damaging to the field. However, I don’t think that we should set human intelligence as the gold standard - there are probably lots of alien forms of intelligence that are brilliant at tasks that humans aren’t evolved for.	Well there are lots of potential measurements of general intelligence, not just statistical ones, and perhaps we should be measuring a range of different capabilities rather than being focused on "goals".	This is really one of the standard definitions (AI is the study of how to make machines behave in ways that we say are "intelligent" if people show that behavior) which is widely criticized for begging the question of what human intelligence is. I like the inclusion of "foresight" though it’s also rather ambiguous for use in a definition that is intended to be precise.	Without a definition of  "rational" and "best" this definition will simply be a source of confusion and disputation. 	I might have given this a 5, except for the inclusion of "common sense" which is another concept which is vague and bound to lead to dispute.	No, this is almost silly. My fridge gives me guidance about when I have left the door open or some of its contents are going out of date but I don’t think we would call that AI.
								
I would add "learning"			Optimality is computationally infeasible even for humans			Rational behavior is only a part of what I would consider "intelligence"		I would say "good" outcome and I do not like the term "rational", which does not have a clear definition. 
				too long and complex	circular definition	much too limited view of intelligence		too limited
	And this is why artificial intelligence is still different than natural intelligence.	Too many claims in a single question. Some are right, some are wrong (e.g., real time).	Same observation as previously. Since some of the affirmations are right and other wrong, I disagree.	Because the capacities of the intelligent machines is still limited by the computational power of the machine, which is different than the way the human brain works.	The goal is not to make machines intelligent in the human sense. It could be simply to develop an expert system that helps us to make diagnostic or forecast a phenomenon.	Because “artificial rationality” could an alternative terminology to “artificial intelligence”.	This is the point. Machines are able to perform specific things better than humans, but they do not have our versatility to deal with unpredictable situations (plural makes the difference).	Yeah, I believe this is one the goals.
AI is not a "study of computations", it is technology	Straightforward	There is a confusion here between "intelligent" and "opportunistic"/"versatile"	There is a confusion here between "intelligent" and "opportunistic"/"versatile"	Intelligent is intelligent, the amount of computational resources is irrelevant	"Appropriately" is too loose a term.	The statement offers 2 non-overlapping definitions : rational and effective	"Common sense" is subjective and a black box. Shouldn't be part of the list.	I'd rather see a more focused term than "rational"
								
								
			I agree with the non-optimal, but this definition places the human as the reference relatively to what should be performed, independently of context, capabilities or resources (that might all limit the need and usefulness of being highly flexible).	Depends on how computational resources are accounted, as the way they are sometimes accounted for IA and natural beings sometimes differ.		Highly depends on the definition of "rational action", for which there is no consensus either based on discipline / approach / goal.		Ok from a "rational" perspective, but simply not in phase with the definitions of intelligence I commit to.
So long as we define computations as rhetorical.	Yes, though goals are often emergent goals.	Yes, since intelligence is best demonstrated when all available facts are known, in order to generate new facts. But we are always working within an availability heuristic.	Intelligence is hardly ever efficient.	Yes, this overview presents intelligence as context-driven.	Foresight is a recursive function.	Intelligence is also prudence--and prudence may not always be the best available choice, pragmatically speaking. Computer intelligence is highly prudent.	Ethical questions and values are always embedded in human and machine learning situations. 	Non-human actors may have their own teleological purposes. 
								
						what's the definition of intelligence in the first place?		
	Logic and abstract reasoning and inference does not require environment per se.				In my opinion, Intelligence cannot be restricted to an environment. 	This definition is somehow restrictive since it does not take into account other aspects like the emotional intelligence.		Guidance is provided in a context, so there will be always some (cultural, gender, age, regional) bias
								
						Because it all depends on how it has been trained		
								
						What does best mean		I don't think AI is unbiased
				I see no purpose in thus version				Too narrow, too PC, dull
This definition has the advantage of simplicity, but intelligence deserves something more... A signature verification program has these properties, does it have intelligence? No...	well, not enough...	Although this definition is not so abstract it gathers a lot of important properties of intelligence	This definition gathers a lot of important properties of intelligence, however, ties it to humans...	A common person cannot understand this definition	to function appropriately... Ambiguous...	It is good, although a little ambiguous when talking about "best possible action"	Although this definition is not so abstract it gathers a lot of important properties of intelligence	intelligence for me is not about only to serve.
			This probably comes closest to my definition of all above.			Intelligent humans can often fail to take the best possible action. Intelligence to me is more about flexibility and adaptiveness than being optimal for every task.	I like this definition more than the ones below for the emphasis on "wide range of ... domains". Intelligence to me is the ability to adapt flexibly to new goals and to set one’s own goals – not just to "function appropriately and with foresight in its environment". There are existing machines that can "function appropriately and with foresight" in very limited environments, but I wouldn't call them intelligent.	Intelligent behavior can be defined whether or not that behavior provides "guidance and service to humans".
				minimizing computational resources seems a good way of avoiding calling brute-force approaches intelligent, but still seems to be a bit outside a core definition of machine intelligence				the ability to provide 'guidance' to me seems not to fit into a core definition of machine intelligence (even though most machine intelligences will have this purpose)
This presumes that intelligence, or some machine subset of it, is inherently computational.	This is sort of onto something in functional terms, but elides "intelligence" with its measurement.	Again, a reasonable functional definition.	This takes "intelligence" to be quintessentially a human characteristic, which is imitated in AI/MI development. It's too normative.	This seems a reasonable functional definition.	This elides the research programme of developing AI with the object, AI, itself.	It may be right in broad terms, but it seems _very_ broad, and there is no criterion given for the "goodness" of an action here.	This may be an epistemic criterion for how we might recognize MI if we met it, but again, it's not a definition.	This seems to describe a possible use for MI, rather than defining MI per se.
This sounds not bad, I would maybe replace "computations" with "processes", to avoid a round of debate of what is computation and what not. 	...meaning intelligence implies presence of goals and agents; the definitions hide a lot "under the rug".  	This sounds correct... This could be the "ultimate goal" of AI, whereas I would count intermediate steps as AI as well. 	I neither think such general-purpose systems are needed or possible. We also find quite different capabilities in different humans... 	Seems too specific to a particular (probabilistic, computational) framework; hardly insightful for real-world systems...	This is not very impressive, but sounds right	Well, I consider myself more intelligent than a rock and I definitely don't always take the best possible action (in contrast to the rock). What about exploration / exploitation trade-off? Seems a bit too narrow...  	I believe there's a lot intelligence, even in biological systems, that is not "general intelligence of humans": ability to orient and move in an environment like a bee or an ant is also a valuable goal for MI, e.g. 	I find this definition a bit too narrow. Outcomes not obligatory need to be optimal -- could just be better than without MI, could also be for a single task / circumstance, don't need to be rational and unbiased, just serve the task.  
								
	Same as previously.	I like that learning is included.	Again too focused on comparing to humans.			Too focused on action. Should include also other kinds of decisions.	Pretty ok except for the part about “matching humans”.	Too vague, Mainly about the outcome and not much about the process.
Studying "computations that make it possible to perceive, reason, and act" is studying AI, not AI itself.	It is important to have the ability to transfer learning from one environment to another and operate in known and unknown spaces	Perhaps also needs some reference to transfer of knowledge from other tasks	I don't agree with the human centric pose of this definition	Probably too narrow for general AI. There likely many are systems out there which in a confined goal space already meet this.		This view is too based in standard economic theory. It has been shown the vast majority of humans do not act rationally in many situations. Does this not make them intelligent? See "Choices, Values and Frames", by Kahneman and Tversky.	We should not define machine intelligence from a human centric view point. Whilst a machine that can match humans could be deemed intelligent, this is not the only possible route.	Whether or not machines are defined as intelligent has nothing to do with their relationship to humans. That is important for defining the goals we wish to build into AI systems such that if/when they become intelligent, is their creators we make sure they are beneficial for humankind. It should not be used to define whether they are intelligent.
								
					Defining the development of AI as AI is counter-intuitive and confusing.			
Make possible by whom?	Too narrow and needs defining an agent (human, artificial and what is an agent?)	Good except the last sentence, what is relative rationality? Do not make a definition in terms that are not well defined and understood	Good except but it does not need to generate optimal behavior	Too confusing	It is somehow a cyclic definition	Too narrow		
								
								
								
Simple, crisp, and clear.				I don't like the "prior distributions" (would change that into prior knowledge/training data) and the second part of the efficient .pragmatic general intelligence...	AI is not an "activity".		This is a (semi) definition of human intelligence. 	Requires definitions of "agents", and "optimal outcomes"
								
Agree with the definition, but it is a bit too general.	I generally agree with this, but still too general.	a too complex definition, although the elements said are correct.	What is said is correct, but this again is a too complex definition.	The definition is too much tied with some modeling approaches. It should be more general.	I agree with this definition, but it is too vague.	I would not exclude non-rational (human) intelligence.	I do believe that there are differences between human intelligence and machine intelligence. There are strengths in human intelligence and vice versa. Machine intelligence does not have to match human intelligence on all aspects, especially in common sense reasoning.	I agree with the statement that machine intelligence provide services to humans, but the services are not restricted to rational and unbiased ones.
								
Perceive and act are important, "reason" has the connotation of logical reasoning, I think the inference is to be seen much broader.								should intelligence be rational?
Too general - it would cover also non-AI systems.	Much too general - applies to all kinds of technical systems.	Even if the "real time" requirement appears to me a bit strong, this definition covers the essence of the AI systems I know of except that it lacks a goal orientation.	This is too anthropomorphic.	It doesn't take "knowledge" into account.	There are too general terms: appropriately, with foresight, environment	Then there would be almost no AI solution of a problem, where we are often satisfied with near-optimal solutions. 	If "common sense" would be absent I would agree - we are still far away from common sense in general...	Rational agent, but "optimal" is wrong.
								
too vague	general intelligence seems unnecessary; no human makes only intelligent decisions	gets close to the core of how I understand human intelligence	don't like "general" intelligence requirement	sounds good except for "general"	This goes in the right direction, could be expanded a bit	"Rational" seems like a good direction; maybe "provide reasons for a decision" is needed?	"matching" seems to restrictive; what is "general" intelligence?	Too vague
good but the reasoning is not essential for me	It is quite broad, but if there is more consensus, it is fine with me.	Quite specific; but if there is more consensus, it is fine with me.	Too specific and too much referring to human intelligence	too many elements in the definition. It might be good for researchers but not for a broader audience	short and meaningful definition, that I like	this definition is based on the notion of 'rational action'. This is not simple to define. Moreover it is too restrictive for me.	too restrictive if it  includes common sense explicitly	good but too specific for me in order to be my best choice
This is way too general	And how does one measure an agent's ability to do that?	Many of these definitions seem to overlap and it's hard to tell why there are 3 versions of the same thing and if there is meant to be a difference between them or not				Many of these definitions are too general to be of use		
This describes AI as a "study" rather than as a thing. A better statement would be "the study of AI is the study of ..."	This definition is basically the same as a prior one, less the "pragmatic" modifier. A person or machine may be very good at achieving goals, without , e.g., understanding.	This seems more like a definition of intuition and inference. That is, intelligence is the ability to draw inferences from the least amount of resources. But in common use, intelligence connotes having a high level of knowledge.	This definition seems to come closest (of those provided) to describing what we commonly mean by intelligence. I would drop the first sentence and generalize the description to say "an intelligent [thing?]", that is, whether organic or inorganic.	Not sure why the qualifier "pragmatic" is there. Skirts the issue of general intelligence by simply equating it with goal achievement.	Not sure how to define "appropriately" (again, normative). Vague. First part seems superfluous.	Intelligence is not the same as rationality. People act irrationally, but predictably. Psychopaths may be highly intelligent, but not highly rational.	Mixes normative concepts (common sense) with skill and knowledge based concepts.	MI is not limited to the service of humans and "optimal" is vague-for example, it could be an irrational outcome that does not optimize across all factors. This is a judgment call, not "intelligence" (measuring ability).
"Make it possible" seems vague.						By this definition, many humans are "unintelligent."  Is that what we want?  Rationality seems to overly constrict the scope.  It excludes many creative endeavors that fall under intelligence.		Why would intelligence have "service to humans" as part of its definition?  This relates to how the intelligence would be used, not what the intelligence is.
This seems broad enough to encompass the definition but also feels too broad	 A bit too simplistic			Planners do this purely - are they intelligent? Is DFS intelligent?	Too narrow a definition	Clearly humans are not intelligent then	Close - although does not necessarily have to match humans in every aspect	Not necessarily unbiased, not necessarily optimal
				A good description of AI today. But general intelligence should be more than this.	Not wrong, but nonspecific		"Common sense" is too vague and I don't think general intelligence should be necessary to define machine intelligence.	The words "rational", "unbiased", and "optimal" explain our desired use of machine intelligence well, and for better or worse highlight the subjective nature of deciding what "unbiased", "service", and "optimal" really mean.
			I like that it doesn’t require generating optimal behavior	Way too complicated	Environments vary	Don’t like the agent actually tasking actions		
								
	Does not define AI per se.	OK, but too long, lack the strength of a crisp clear definition of a field.	I disapprove of the reference to human	Same remark about "general intelligence". Further, this definition is unnecessarily complicated, not very readable and does not shed light on the research field being defined.	This is a more neutral definition, but it decomposes into a definition of "intelligence", which is not needed for defining AI.	OK, but does not define AI per se.	The reference to human intelligence is a bias; it also leads into more ideological and much less scientific concerns. The qualifier "general" for intelligence is misleading and unclear.	This sentence is too vague to provide a good definition
								
	Maybe. Current AIs are pretty good at specific, narrow tasks and can act with intelligence within those domains. That makes them pragmatic and useful, but not generally intelligent.	I like the emphasis on adaptivity			I worry about how "environment" is often narrowly defined in modern AI research.	Humans often act irrationally.		That's more of a definition of what makes computing useful.
Still too vague	Too vague		Like not optimality.	Sounds like gobbledygook	Too vague	"best" is relative.	Don't like word "match"	"optimal" is ridiculous.
Acting does not require intelligence 	Goal complexity not defined	Evolution is intelligent by this definition 	Human reference irrelevant 	Goal complexity not included	Appropriately irrelevant 	Complexity not included, and need not be related to rational action	Matching irrelevant 	Human guidance and service does not require intelligence nor is necessary 
This simply shifts the definition of intelligence to the definition of reason. Arguably one could hard-code a rules-based system to achieve the above goals in its domain, yet it would be easily classified as non-intelligent.	It is acceptable for a system to be brilliant in a single domain but unable to significantly adapt to new domains, yet still be intelligent. Many humans satisfy this description. See definitions for "crystallized" and "fluid" intelligence for more information.	Excellent definition. Needs more work to define "adapting" (likely requiring the inclusion of goals). Insufficient knowledge and resources is key, and likely the very motivating force behind our own evolution of intelligence. Relative rationality removes the problems with above definitions requiring "rational and unbiased" before one may be intelligent.	This is a wonderful goal, but building a system that is absolutely alien to human thought, works only in a specific domain, and cannot (for instance) acquire new languages/communication forms could definitely still meet intelligence tests and seem indistinguishable from our current (N=1) definition of intelligence as human. Far too restrictive. We should not even be seeking to just emulate ourselves; we are not the sole definition of intelligence. Reference all the worlds' creatures.	Achieving goals is indeed a key feature of intelligence (as well as achieving the goal of setting useful next-step goals i.e. self-direction). Efficiency is a key element to bring into the discussion: a slime-mold can solve a maze, but it does so by exploring every possible state and down-selecting the states that lead to the solution. In this way, it may appear to be solving problems, but in reality it is simply brute-forcing its way to an optimum while consuming unnecessary resources. Evolution itself can be said to be "intelligent" in this same way; however, a simple study of the fossil record shows it is absolutely not. 	This isn't a bad definition, though it focuses unnecessarily on prediction. A system that could brilliantly reason only on the data it's been trained on would still be enormously useful and would seem quite intelligent indeed. "Function appropriately" while vague, is getting closer to the real issue.	Again, just shifts the definition of intelligence to the definition of rational and "best possible." Clumsy and unenlightening.	Matching humans is an absurd goal. If we could make a machine intelligence that could even function as highly as a dog would be a societally-transformative technology with unbounded, wonderful applications. The term "common sense" is actually offensive and usually refers to a set of common behaviors in humans that have caused untold damage. "Common sense" has included racism, sexism, and sacrificing one's children to a volcano. 	Rational and unbiased guidance is a very loaded phrase. If we are to hold humans as the mark to achieve, we are absolutely not entirely rational and not even close to unbiased. We cannot even often agree about what is bias vs. what is a learned observation. Yet we provide excellent service to the community and are measurably useful. I believe "rational and unbiased" here is an expression of a desired quality of the final product by this individual, not at all a definition. If we had a roughly human-level artificial intelligence that expressed "typical human" biases, this would be incredibly useful and transcendentally transformative to our culture. Humans would fail this definition of intelligence!
could add to this, but good avoidance of how and open to perceive/act being speech/language modes	would like to define range but ok on need for adaptability, learning etc.	well, resources are always limited so am not convinced this view adds much	not convinced that this must be human-centered (and human itself covers a very wide range not defined here: babies, drunk, comatose etc.) but there is a point hidden in here on specialist vs generalist	don’t see why computational resources have a place here: isn’t that an implementation issue or are there deeper computability concerns?		rational here are at least two possible meanings: logical, and explainable. there are time and places when "irrational" action is appropriate (creative, fast etc.)	are we making assumptions about human to mean white male western etc.? what  about social intelligence, non-human (ape, etc.)	too many undefined terms: in what way rational? bias has it uses, why at the service of humans (only) transparency is missing, what about learning and adaptation?
						It could be if a decision always implies an action (think it is not necessarily the case)	Actual architectures are far to show general intelligence. 	Human is the center of the concept. Outcomes of any (Intelligent) Machine must be seen as a tool (assistance).
								
Direct, encompassing and simple, with an explicit recognition of the computational aspect. 	Goal pursuit is too restrictive. 	More a definition of how rather than what. 	"Intelligence" is just one, and not the most prominent of "cognitive abilities we find in humans"	Not crisp	Vague	Begs the question of rationality. 	"Matching human intelligence" is not an operationalizable, testable claim	
A photoelectric detector perceive, "reason" and act, but not so intelligently. Same goes for any detector-actuator circuit. Not fair to use "reason" while defining intelligence, btw.	First, intelligence is not a measuring device, rather "can be measured as". Also, "Common sense" is a kind of intelligence that doesn't need goals (except "keep being alive" if any). Last, suicide as a policy gives the agent to achieve a goal (being dead) in a wide range of environments.	It is not a true definition but a wish-list of what it should be able to do.	"Exhibits the full range of the cognitive capabilities we found in humans" is using "intelligence is being as intelligent as we are". Not a definition for me.	Not sure what you mean with "Efficient pragmatic general intelligence".	Saying "an engine enables the car to move" doesn't define the engine itself but what it is good at, but I agree with what is said here, but it doesn't define intelligence.	Just add a definition of "best possible action" as the one giving the agent access to a set of available futures with the higher entropy and you almost have it all! (Alexander Wissner-Gross, 2013, Causal Entropic Forces).	It does challenge a lot of disciplines, but at the same time, the answer would be so simple and general to unify them in a simple form, like the 2nd law of thermodynamics or the least action principles can -and do- define physic system evolution as a whole.	Base a definition on "service to human" is too narrow sighted.
			Again: not as much as a definition as properties that intelligent systems must have. 			Intelligent agents take what they believe to be the best possible action in a situation. 	I don't see this as a definition. Rather, as a property that intelligent machines should be able to fulfill. 	This definitions presumes that a machine is intelligent only as far as it services humans. Consistently with previous answers in this questionnaire, I think that a unified definition is possible both for artificial and human intelligence (the difference between both being that the former is carried out by machines designed by us, and the latter by Homo sapiens). With this in mind, I think that this definition by Nilsson is a very bad starting point. 
				Too technical/convoluted		Too vague		
								
Perception as subjective experience may not be necessary in some implementations of AI	The focus in intelligence should be on the process and not in the result. An entity that has been taught the right answers may perform better than one that finds the answers by itself	Computational resource limitations are per se included in any real world activity, how important is to make it explicit?	It seems to imply the presence of emotional component of human behavior (dealing with social environments). That should not be a goal in AI. 		“appropriately and with foresight” too vague terms. The entities should act ‘consequently’ with acquired knowledge. How far into the future we need to look for the consequences of our actions is a very difficult question (at which humans are mostly failing)	Agree, with the caveat that the best possible action may be computationally unreachable 	Same mechanisms of information processing apply, in principle, to general intelligence for all	The goal to serve humans adds unnecessary confusion, AI should be aligned with human values but focused on the concrete task assigned
This definition specifies computation instead of allowing a dependency on the natural world, and the functions to perform are reasonably narrow. I would include a demand for recursion around these 3, including something like 'perceiving the results of its previous actions', thus requiring the possibility to learn at any meta level.	An atomic bomb can achieve its goals without much regard for its environment. There is no 'adapt' in this definition.	This aspect of a finite agent in a potentially infinite environment is very important to distinguish brute force from intelligent strategies. The 'learn from experience' is also essential to adapt to environments that evolve into uncharted territory.	Describing the cognitive abilities we're after by referring to 'human cognitive abilities' and listing a few examples of human behavior does not get us much further to narrow down the scope.	This definition using 'the capability of an agent to achieve goals in environments, relative to prior distributions over goal and environment space' would make much of the evolving biological world qualify as such as a pragmatic general intelligence.	Because 'enabling an entity to function appropriately and with foresight in its environment' includes gigantic parts of the animal world, unless you narrow the definition of foresight and/or have that definition include concepts that are similarly difficult to define as intelligence.	Best possible action' cannot be defined rationally. Bayesian reasoning always depends on previous assumptions and 'best' is always according to someone's agenda.	The question is if our intelligence can be defined by the ability to meet complex information-processing challenges or only by our successful survival thus far. Also, any modern C++ compiler is vastly better at planning to meet complex information-processing challenges than most humans, although arguably not across a wide range of domains.	It is unclear 'if rational, unbiased guidance [...] to help humans achieve optimal outcomes [...]' can exist at all. If it is important to have a definition of machine intelligence, it should not be dependent on something as fuzzy as 'optimal outcomes for humans'.
	Intelligence alone may not be sufficient for wide range problem solving.							This definition implies that machine intelligence is solely for the purpose of service to humans. I do not agree with this. Intelligence for the agent should subject to its own goals irrespective of how this goals serve humans or not.
							Does not allow for a spectrum of intelligence.	Does not allow for autonomy.
learning is missing, and knowledge accumulation/update, though maybe thinks of those as part of reasoning and perceiving and acting..	achieving goals' is part of what (artificial) intelligence is, but not the whole.	I'd not say 'insufficient' but limited.		Focusing on goals/actions seems too limiting, but it's good to stress limited resources.	The use of 'foresight' seems weird and 'appropriately' requires more elaboration.	Not necessarily.  I would consider a conversation or a good question answering system intelligent, and there is still much work to be done to get them to human level, but I wouldn't characterize such tasks as taking rational actions.	This is ultimate goal of AI research.	unbiased is not necessary, nor optimal, nor perhaps service or guidance to humans, and 'rational' could  be too restrictive (depends on exactly what rational means) ..
								
Concise			Falling asleep reading it, you missed timeliness in the definition	Too wordy	Too vague	Intelligence  without "soul" - talking about outputs without consideration of inputs	It does not cater for highly specific subsets of intelligence	I do believe having a definition gives one a reference without discouraging slightly altered definitions. The drawback is we cannot define human intelligence particularly well.
No, it is not "the study". I.e., that would be the science of AI, not AI itself				should not so narrowly refer to prior distributions		too narrowly focused on only "rational" action.	Incomplete language	Too narrow
				too much to unpack here. Prior distributions? Seems too niche to certain types of AI systems.	Not sure I'd characterize AI as an activity. But this one is both tidy and broad enough to work. Also, I think prediction is a necessary aspect of the definition. "Foresight" captures the spirit there for me.			intelligence can still be biased (not ideal, but not mutually exclusive). Also, intelligence is agnostic to its service to humans. Human ability to benefit from it should be coupled,  but it is not one and the same.
reductive	vague	on to something but too high-brow	indeed! focus on replicating human intelligence	process description in mathematical terms nice	process oriented and too vague	reductive		Too limited a definition. Seems like a definition of machine science rather than intelligence. 
What does reason mean? If you cannot act are you still intelligent?	Not everything is goal driven	Not sure about the relative rationality part	Parts could also be intelligent	Not everything is goal-driven though, or is the absence of goals a goal itself?	I like it, but this also means that a plant is intelligent, which they may be	Are irrational agents not also intelligent?	Doesn't have to match humans, but a notion of generality and common sense (base self-preservation intelligence at least) is valid	Service to humans and optimal outcomes should not be a requirement
