"think rationally" is both narrow and perhaps circular.	Too narrow, and anticipation of consequences is problematic to define precisely and judge.	I don't know if the set of things is the right set, but the idea that it's whatever you have is appealing.	Having it be behavior is fine.  Adaptivity -- too narrow.					
Seems quite complete: internal mental functions; external behavior and interaction with environment; part/whole functions, quality and quantity	Missing the "doing" something/behavioral aspect.	Vague, self-referential.		Dynamic interaction between agent and environment seems important.	Why prioritize relationships? What about "inherent" properties?	A bit long, but seems to capture the internal and external aspects.	Not just figuring out, doing too.	practicality is perhaps sufficient, but not exhaustive.
	Too narrow		Too narrow, there are many forms of intelligence that don't require adaptivity.					
								
								
	ditto.  		ditto	This is one way to define intelligence. 	one more way to define it. 	ditto	As above. 	I think a truly rational being would include other aspects of intelligence (intuition, etc.) into account in a decision.  
								
This definition is general enough and comprehends many aspects of intelligence. I'm not 100% sold on the "think rationally", though. I suspect it's again a circular definition.	"Anticipating" is indeed a very important aspect of intelligent beings (e.g. compare different animal behaviors: smarter species make plans).	Circular definition: I wouldn't use "intellectual" in a definition of intelligence. The rest is OK though.	I do not like the behaviorist drift in this definition. Behavior is very important in cognitive science, yes, but behaviorism has done more damage than good.	It sort of implies that intelligence comes in to organize thoughts, but aren't thoughts there because there is intelligence?	This definition is focused only on one aspect. Correct, I would say, but very limited.	It's funny how this definition starts very generally (and correctly) and then it takes the time to mention very specific tasks like taking tests.	This is oversimplifying things but undoubtedly captures one important aspect of intelligence.	Is there really an "optimal behavior"? If so, can it be discovered by the person?
								Intelligence needs to care for the community or population as a whole.
								
Yours is too narrow.	Yours is too narrow.	Yours is too narrow.	Yours is too narrow.	Yours is too narrow.  	Yours is too narrow.	Yours is too narrow.	Yours is too narrow.	Yours is too narrow.
								
								
								
				Arguably, humans are often not considering the needs of their environment.				
Same as above: this is potential for intelligent action, behavior,  but intelligent action may not follow because of circumstances, lack of time for thinking or emotional problems. 	Anticipation is not easy because knowledge of the situation is limited. 	This is just a potential to be intelligent, not intelligence in action. In some circumstances not so intelligent action may follow. 	Again behavior is not all, years of thinking on general relativity had little to do with behavior. 	True, but is it the essence? 	It is not always just relationships. 	This is rather obvious and quite broad.	Very fuzzy ... 	Why only practical affairs? Mathematics is not always practical. 
								
								
	Anticipation is related to generation of value	Too human	Adaptation is meta-intelligence (i.e. intelligence applied to intelligence).	Intelligent agents can be disorganized.	Not only relations but other informational aspects of the problem at hand.	Too complex.	Too human-centric.	
			this is not sufficiently goal driven					
								
								
	Shouldn't it also contain a requirement to weight the different possible consequences such that the best solution is found (best might again respect certain limitations)	"Intelligence is what solves intellectual problems"... That is not really a definition.	Adaptability is certainly an important dimension of intelligence, however, even a static world can be complex and demanding. So, this definition is not helpful in static worlds although intelligence can be observed there as well. 	Lacking an evaluation criterion. Just "responsiveness" does not describe the quality of a solution.	Ha. A surprise! Nice and concise. Might actually be a really good one. 	Description rather than definition	Other definitions were more precise than this one.	According to this, humans are not intelligent as we almost never show really optimal behavior because we lack full information and infinite computing power and infinite time to actually compute the optimal behavior. It is clear what the definition tries to do, so maybe with some modifiers the definition might be fine. (e.g.: ... optimal with respect to the natural limitations ... )
define "qualitatively", "purposefully" and "effectively". Again: cybernetics is your friend.	This is  more or less the cybernetic point of view, which I subscribe to. I don't agree with the "individual" part though: populations van act intelligent as a whole as well. All intelligence probably is distributed actually (e.g. over a population of neurons). The real question in fact is: what is an "individual"? Can that be defined in a scale-independent way?	skills? knowledge? tendencies? Please be more precise. Cybernetics has a long tradition in trying to formalize these notions.	(individual) reactive agents can also be intelligent, hence "adaptive" is too strong here. Unless one looks at the population level again of course.	too many ill-defined terms (essence, govern, organized, coherent)	relationships are second order. So this definition excludes first order (reactive) intelligence	mental?	again: too broad. almost anything fits this definition	
Who could disagree with this as a psychological remark, but does it do any useful work for a scientific understanding and engineering of cognitive systems or AIs?	I would like to support this but again it’s too narrow, certainly as a psychological definition of intelligence. Capabilities like interpreting data, planning and design need much more than the ability to anticipate for example.	Taking "individual" to include "agent" it’s got some merit but why is intelligence limited to intellectual intelligence (whatever that is). 	True but too narrow.	This is more like psychology than AI (I don’t mind that, a lot of what I do is psychology) but as commented earlier I don’t think examples of natural intelligence are necessarily the foundation or gold standard for any or all artificial intelligences.	Too narrow	It’s got some problems of precision but it’s got the breadth of scope and ambition that AGI research needs.	Vague, romantic and unscientific.	Not objectionable but not helpful as it doesn’t really nail anything down.
								
				The definition is reductive			The definition relates more to quickness of action. It should be combined with the ability to collect pertinent  information and to abstract it in order to understand the world	
					too narrow			
				Agree, therefore I differentiate natural intelligence and artificial intelligence.	This a part of		It is more	
	True but incomplete	"that [is] available at any one period of time" Why this odd addition? 	True but incomplete	There is an implication that intelligent behavior is in every case consciously determined, which is not necessarily true.	True but incomplete			
								
								
The "intelligence capacity" highly varies based on context, task, scales...	Same answer as two questions above		Depends on the scale (qualitative and in time) of change.		Although I roughly agree it covers most case from a regularity extraction / prediction coding perspective, it may seem quite restrictive considering other approaches.			
	Intelligence is not always consequential. 			Yes, though many needs are emergent.	Yes, though not every situation is a problem to be solved.	Here is where making the best of the available means of persuasions intersects with rhetoric and learning. 	Yes, though intelligence efficiency means often generalizing to the point of absurdity.	I have a hard time thinking of human intelligence as being goal-driven, unless those goals are necessarily short-term in nature.
								
								
	Intelligence can arise from a community of individuals as well.		Here the problem of defining intelligence is shifted to defining behavior.			This definition seems a cooking recipe.	Too naïve	Intelligence does not need to be optimal, sometimes cost functions are not required.
								
								
								
						Intelligence should be able to deal with data, information, knowledge and wisdom		
	Too narrow							Again too narrow, excluding too many intellectual activities, games etc.
interesting	good, I would add and these consequences create value for the individual and/or the community	well, this depends on intellectual... Do we have that definition?	some intelligent specimens create the demands themselves...	Well, the needs of the environment don't sound good to me...	I think this is very restrictive...	so if you learn slowly you are not intelligent?	"figure things out on the spot", ambiguous...	Interesting
								
								
This is better than the one before, but again seems to pick out only some contexts in which intelligence is engaged.	This may apply to some uses of intelligence, but doesn't apply to most.	This seems to be a broad general definition, which could be made more precise.	Is it a property of behavior? Or of cognition? Or is cognition behavior? This seems to rely too much on some assumptions which are philosophically problematic.	This seems to rest on a rather problematic idea of the self and the nature of practical reason.	This captures the way in which intelligence involves the exercise of judgment.	This has a lot of truth in it, but the contrast case ("book learning" etc.) is not well defined.	This connects intelligence with both learning and judgment.	Again, this has merit in terms of practical decision-making, but may not fit cases like mathematical problem solving.
								
								
						A bit too verbose and example-based.		
								We need o be careful with using definitions based on Homo Economicus as it has been clearly show in the past decades that humans do not always act rationally, yet still they have human intelligence.
								
								
								
								
								
								
								
								
		The definition is too much on the static set of things.			too narrow (too focused on relations)	it includes most of the things. But it would be good to be more concise.	This is the main part, but should also include invention.	optimality judged by whom?
								
					Yes, but relationships should not necessarily be expressed in a logical language.			To behave rationally is very subjective, and depends on a person's own situation.
								
								
							good but a bit informal	setting goals is part of human intelligence (and potentially less so for AI?)
this definition is  specific, meaningful and targeted to human intelligence 	rather restrictive	this definition is  specific, meaningful and targeted to human intelligence 	good but incomplete	this definition is  specific, meaningful and targeted to human intelligence 	good  and broad 	rather detailed but meaningful	the speed element 'figure things out on the spot' is rather restrictive	this definition is  specific, meaningful and targeted to human intelligence 
								
As stated before, intelligence and rational behavior don't necessarily go hand in hand. Whether intelligence is tied to effective behavior is another questionable connection. I do think intelligence is a aggregate measure of many things.	This definition does not include a feedback loop - you anticipate but don't adjust based on the possible consequences.	I like two things about this definition: 1) it recognizes that intelligence is a combination of many things, and 2) that it is a point in time measure.	I don't like the "quality of behavior" - I'm not even sure what that means. I do like the inclusion of "adaptive."	This definition conflates behavior control with measures of capacity. 	This assumes that intelligence does not include stored or acquired knowledge.	Seems like a word way to try to include lots of things in the definition, and in so doing leaves out many things ("among other things"). What are the "other things"?	The time element is irrelevant. Repeating things already "figured out" is memory and the definition does not imply using things figured out in new situations.	Rational is not relevant. I'm not sure what the rest means or how to measure it.
Necessary but not sufficient.	Necessary but not sufficient.		Necessary but not sufficient.  What kind of quality of behavior?	This is a definition of executive function, which is only one component of intelligence.	Vague.  What are "relationships"?  Between what and what?	Good that it goes beyond "book learning", but it's not very useful to include vague terms ("figuring out") when trying to define something else.	Imprecise.	As above, rationality isn't the whole picture.
						Lots of words but ends up vague		
								
								
								
								
								
				I feel like self-reflection is an important distinguishing factor				
	Too limited.		It’s not a quality of behavior.		Its only part of intelligence.		It’s more than that.	"optimal" makes no sense.
Intelligence not required to act purposefully 	Complexity not referenced 	Recursive definition 	Behavior not required 	Complexity not referenced 	Complexity not referenced 	Attributes listed neither necessary or sufficient 	Complexity not referenced	Practical affairs irrelevant 
This isn't a useful definition, more like a philosophical assignment of traits that make up intelligence. It basically says "you need to look at all parts of a subject to find out if it's intelligent" and "intelligence is made up of many related sub-capabilities." What are they? Not addressed.	This is definitely a component of intelligence, but again predicting the results of an action is not all intelligence is. One can, for instance, analyze, group, simplify, and comprehend a vast, complex dataset with a beautiful presentation on the underlying forces and meanings, yet there are no predictions or actions to measure.	This is the definition of the output of intelligence applied to input over time. However, intelligence is somewhat a meta-concept to this definition. What about creating new entries in the repertoire? That's not covered and is one of the key elements of intelligence: transcendental growth in the complexity of understood models based on past, simpler representations.	This is a definition a roboticist would use. A system that simply analyzes incoming data in a brilliant useful way is definitely intelligent, yet it takes no actions and possesses no behavior.	A very strange definition, sounds more like a biological metaphor to the definition of life. I think one could be highly intelligent yet unable to self-govern. Reference irrational and "insane" members of our species that are also extremely (and dangerously) intelligent and self-harming.	A good definition, but very general. Shifts the definition problem to the word "see" and "solve"	An excellent definition of intelligence that gives examples of intelligent capabilities without attempting to be exhaustive. This is necessary, as we're still figuring out precisely what intelligence is.	Amusing use of the word "clearly." Shifts the definition problem from intelligence to "figure things out"	I think this definition is engaged more in the battle against irrational beliefs than it is a helpful definition of intelligence. 
interesting view on global: but see recent work on octopus limb control	by anticipating tell us how this is done. not convinced: does not explain learning (let alone forgetting)	not convinced about terminology learning sets and tendency: what is this ? why do we need to use this to define intelligence?	good on adaption and learning (including learning from others?)	not sure there is a central control: though older thinkers asserted this	too vague and focus on how	as above	ok for a general lay text but not clear when you start to dig down. what's a "thing" here?	again the belief as an internal construct seem to focus too much of how this is done. With this we would not hold incompatible beliefs, which we do!
							Yes. But, how to address new (possibly better) ways to figure out new things.	
								
Defining intelligence in terms of behavior just begs the question. 	Just on small aspect of "intelligence"	This definition applies to humans - but doesn't help with machine intelligence. 	A psychologist's viewpoint	Who are 'ourselves' when applied to machines? 	vague	Again - useful for educational purposes, but not for machines. 	I like the immediacy, non-technical, and inclusiveness of this definition. 	Defines intelligence as rationality. 
				Too human-targeted to me. Fungi don't have a mind nor even a nervous system, and won't care about govern thought as they don't seem to have thoughts at all.				
					I feel there is something odd about the huge generality of this statement. 			
	Anticipation alone is not enough							
								
	Again, consequences could be immediate or lifetime 		At human level intelligence there is a lot of pure intellectual exercises which are key to important cognitive achievements		Not all relationships are perceived, some are just hypothesized 	We don’t need to list all the properties of intelligence as if they were independent and had to be achieved separately. Most of these have a common causal algorithmic root	A bit vanilla statement 	
Vague	Includes very simple pattern matching.	Vague	It includes adaption of a finite agent to a potentially infinitely changing environment. Drawback: evolutionary biology also qualifies.	Many vertebrates would qualify if you leave out 'thoughts', whatever they are.	This is what a C compiler or machine algebra does very, very well indeed.	Vague.	Vague.	Good definition of rationality, but the inclusion of the enormous scope of 'practical affairs' and the pre-supposing of individual having a singular goal are both gigantically problematic.
Once again definitions of intelligence which encompass a broad spectrum of capabilities makes more sense to me. 	Too Narrow. 			Mental self-government is dependent on something isn't it?	The ability to see (recognize) relationships is predicated more on knowledge base about the individual parts and less on intelligence per say. How does knowledge fit into the definition of intelligence? 	I like this because it encompasses a broad view of intelligence. 		
								
	Same as my answers above.		But not just 'behavior', but smart responses to challenging question is intelligent too.	An important part of human intelligence.	Yes, that's part of intelligence,  but not whole of it, and not necessary.  I agree in the sense that intelligence includes this phenomenon.	I like it that it lists a number of things (e.g. different types of learning).	Part,  but not necessary or complete.   I agree in the sense that intelligence can involve this phenomenon.	Optimization and optimal are detractors...
								
			Adaptability includes reference to past events					
							Involves too much memory	
								
								
Some intelligent things may not be purposeful, rational, or deal effectively with their environment	Predictive capabilities may not be a requirement for intelligence		too narrow	Intelligence could be very messy	too narrow	Feels like this is on the right track	clearly, not clearly	intelligence is not always optimal
								
	The ability to predict the outcomes of ones actions is certainly essential, but this definition feels too narrow.		I like focus on adaptation and dealing with an ever changing world.					I  don't like the emphasis on rationality.
								
								
								
	More important is to, take the decision which is sustainable for mankind.	Ability to experience is also a kind of intelligence. Not all experience things equally.		Intelligence is also, taking initiative to evolve from the current situation/condition.			Yet, the morality/sustainability of human evolution should be considered in order to call an act, intelligent.	
								
The individual's behavior results from more than just intelligence.  Intuition and values form a part.  			Intelligence does not have to be accompanied by behavior.			Does not include "valuing".		
Good but the usual quibbles, "rationally", "effectively", teleology.	The Dennett/Gregorian reply.  Yes, but a little anthropomorphic.	Sure, this might win in the psychology department.  Though it's not exactly a specification you can hand to your Python team.	Yes, well, the problem is that there are many different connotations of "intelligence" in both academic and common usage, so these are going to be very hard to answer.  Can't you be intelligent in a static environment?  Can't you be intelligent even if you fail in a dynamic environment?	A little too academic.  We can be very sloppy and lazy and unsuccessful, yet more intelligent than a stone.	Yes but vague definitions on all the terms.	Yes, and no.  I'm not sure a catalog of features gets us closer to a useful definition, which we hope is more concise.	Good, but "clearly" is off-putting, LOL.  The "retain and repeat" is a whole separate topic, and an important one.	Yes, but a little too Russellian for me.
I don't like references to "rationality" - it is too a vague and not useful a term for this purpose. 	Anticipation is important, but so are many other cognitive skills not mentioned, e.g. reasoning. And more important than anticipation is the ability to recognize general features of situations and recall useful adaptations/responses to those situations, in light of active goals. 	Jumbled and convoluted. Very close to not meeting the minimum requirements for a definition. 	This is only a partial definition. 	Only partial. Not sufficiently grounded in basic properties of thought, adaptation, perception, memory and action. 	This is only a partial definition. 	It's a copout - listing a bunch of cognitive capacities instead of finding their commonality. 	Still only a partial definition, but leaves less out than many other partial ones.  	Not bad, but too messy. 
